"Step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240427_173254 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_164200 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_155300 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240426_154807 - global_step__MAX","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MIN","CartPole_blip-image-captioning-base_goal_baseline_reg_20240426_103506 - global_step__MAX","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MIN","CartPole_blip-image-captioning-base_contrastive_20240426_052047 - global_step__MAX","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MIN","CartPole_blip-image-captioning-base_itm_head_20240425_193233 - global_step__MAX","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MIN","CartPole_blip-image-captioning-base_cosine_20240425_192124 - global_step__MAX"
"60","268800","268800","268800","268800","268800","268800","268800","268800","268800","268800","268800","268800","460800","460800","460800","268800","268800","268800","268800","268800","268800","268800","268800","268800"
"61","272000","272000","272000","272000","272000","272000","272000","272000","272000","272000","272000","272000","467200","467200","467200","272000","272000","272000","272000","272000","272000","272000","272000","272000"
"62","275200","275200","275200","275200","275200","275200","275200","275200","275200","275200","275200","275200","473600","473600","473600","275200","275200","275200","275200","275200","275200","275200","275200","275200"
"63","278400","278400","278400","278400","278400","278400","278400","278400","278400","278400","278400","278400","480000","480000","480000","278400","278400","278400","278400","278400","278400","278400","278400","278400"
"64","281600","281600","281600","281600","281600","281600","281600","281600","281600","281600","281600","281600","486400","486400","486400","281600","281600","281600","281600","281600","281600","281600","281600","281600"
"65","284800","284800","284800","284800","284800","284800","284800","284800","284800","284800","284800","284800","492800","492800","492800","284800","284800","284800","284800","284800","284800","284800","284800","284800"
"66","288000","288000","288000","288000","288000","288000","288000","288000","288000","288000","288000","288000","499200","499200","499200","288000","288000","288000","288000","288000","288000","288000","288000","288000"
"67","291200","291200","291200","291200","291200","291200","291200","291200","291200","291200","291200","291200","505600","505600","505600","291200","291200","291200","291200","291200","291200","291200","291200","291200"
"68","294400","294400","294400","294400","294400","294400","294400","294400","294400","294400","294400","294400","512000","512000","512000","294400","294400","294400","294400","294400","294400","294400","294400","294400"
"69","297600","297600","297600","297600","297600","297600","297600","297600","297600","297600","297600","297600","518400","518400","518400","297600","297600","297600","297600","297600","297600","297600","297600","297600"
"70","300800","300800","300800","300800","300800","300800","300800","300800","300800","300800","300800","300800","524800","524800","524800","300800","300800","300800","300800","300800","300800","300800","300800","300800"
"71","304000","304000","304000","304000","304000","304000","304000","304000","304000","304000","304000","304000","531200","531200","531200","304000","304000","304000","304000","304000","304000","304000","304000","304000"
"72","307200","307200","307200","307200","307200","307200","307200","307200","307200","307200","307200","307200","537600","537600","537600","307200","307200","307200","307200","307200","307200","307200","307200","307200"
"73","310400","310400","310400","310400","310400","310400","310400","310400","310400","310400","310400","310400","544000","544000","544000","310400","310400","310400","310400","310400","310400","310400","310400","310400"
"74","313600","313600","313600","313600","313600","313600","313600","313600","313600","313600","313600","313600","550400","550400","550400","313600","313600","313600","313600","313600","313600","313600","313600","313600"
"75","316800","316800","316800","316800","316800","316800","316800","316800","316800","316800","316800","316800","556800","556800","556800","316800","316800","316800","316800","316800","316800","316800","316800","316800"
"76","320000","320000","320000","320000","320000","320000","320000","320000","320000","320000","320000","320000","563200","563200","563200","320000","320000","320000","320000","320000","320000","320000","320000","320000"
"77","323200","323200","323200","323200","323200","323200","323200","323200","323200","323200","323200","323200","569600","569600","569600","323200","323200","323200","323200","323200","323200","323200","323200","323200"
"78","326400","326400","326400","326400","326400","326400","326400","326400","326400","326400","326400","326400","576000","576000","576000","326400","326400","326400","326400","326400","326400","326400","326400","326400"
"79","329600","329600","329600","329600","329600","329600","329600","329600","329600","329600","329600","329600","582400","582400","582400","329600","329600","329600","329600","329600","329600","329600","329600","329600"
"80","332800","332800","332800","332800","332800","332800","332800","332800","332800","332800","332800","332800","588800","588800","588800","332800","332800","332800","332800","332800","332800","332800","332800","332800"
"81","336000","336000","336000","336000","336000","336000","336000","336000","336000","336000","336000","336000","595200","595200","595200","336000","336000","336000","336000","336000","336000","336000","336000","336000"
"82","339200","339200","339200","339200","339200","339200","339200","339200","339200","339200","339200","339200","601600","601600","601600","339200","339200","339200","339200","339200","339200","339200","339200","339200"
"83","342400","342400","342400","342400","342400","342400","342400","342400","342400","342400","342400","342400","608000","608000","608000","342400","342400","342400","342400","342400","342400","342400","342400","342400"
"84","345600","345600","345600","345600","345600","345600","345600","345600","345600","345600","345600","345600","614400","614400","614400","345600","345600","345600","345600","345600","345600","345600","345600","345600"
"85","348800","348800","348800","348800","348800","348800","348800","348800","348800","348800","348800","348800","620800","620800","620800","348800","348800","348800","348800","348800","348800","348800","348800","348800"
"86","352000","352000","352000","352000","352000","352000","352000","352000","352000","352000","352000","352000","627200","627200","627200","352000","352000","352000","352000","352000","352000","352000","352000","352000"
"87","355200","355200","355200","355200","355200","355200","355200","355200","355200","355200","355200","355200","633600","633600","633600","355200","355200","355200","355200","355200","355200","355200","355200","355200"
"88","358400","358400","358400","358400","358400","358400","358400","358400","358400","358400","358400","358400","640000","640000","640000","358400","358400","358400","358400","358400","358400","358400","358400","358400"
"89","361600","361600","361600","361600","361600","361600","361600","361600","361600","361600","361600","361600","646400","646400","646400","361600","361600","361600","361600","361600","361600","361600","361600","361600"
"90","364800","364800","364800","364800","364800","364800","364800","364800","364800","364800","364800","364800","652800","652800","652800","364800","364800","364800","364800","364800","364800","364800","364800","364800"
