"Step","CartPole_env_reward_99_MIDI3_tmux1 - global_step","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MIN","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MAX","CartPole_env_reward_20240422_232316 - global_step","CartPole_env_reward_20240422_232316 - global_step__MIN","CartPole_env_reward_20240422_232316 - global_step__MAX"
"101","652800","652800","652800","652800","652800","652800"
"102","659200","659200","659200","659200","659200","659200"
"103","665600","665600","665600","665600","665600","665600"
"104","672000","672000","672000","672000","672000","672000"
"105","678400","678400","678400","678400","678400","678400"
"106","684800","684800","684800","684800","684800","684800"
"107","691200","691200","691200","691200","691200","691200"
"108","697600","697600","697600","697600","697600","697600"
"109","704000","704000","704000","704000","704000","704000"
"110","710400","710400","710400","710400","710400","710400"
"111","716800","716800","716800","716800","716800","716800"
"112","723200","723200","723200","723200","723200","723200"
"113","729600","729600","729600","729600","729600","729600"
"114","736000","736000","736000","736000","736000","736000"
"115","742400","742400","742400","742400","742400","742400"
"116","748800","748800","748800","748800","748800","748800"
"117","755200","755200","755200","755200","755200","755200"
"118","761600","761600","761600","761600","761600","761600"
"119","768000","768000","768000","768000","768000","768000"
"120","774400","774400","774400","774400","774400","774400"
"121","780800","780800","780800","780800","780800","780800"
"122","787200","787200","787200","787200","787200","787200"
"123","793600","793600","793600","793600","793600","793600"
"124","800000","800000","800000","800000","800000","800000"
"125","806400","806400","806400","806400","806400","806400"
"126","812800","812800","812800","812800","812800","812800"
"127","819200","819200","819200","819200","819200","819200"
"128","825600","825600","825600","825600","825600","825600"
"129","832000","832000","832000","832000","832000","832000"
"130","838400","838400","838400","838400","838400","838400"
"131","844800","844800","844800","844800","844800","844800"
"132","851200","851200","851200","851200","851200","851200"
"133","857600","857600","857600","857600","857600","857600"
"134","864000","864000","864000","864000","864000","864000"
"135","870400","870400","870400","870400","870400","870400"
"136","876800","876800","876800","876800","876800","876800"
"137","883200","883200","883200","883200","883200","883200"
"138","889600","889600","889600","889600","889600","889600"
"139","896000","896000","896000","896000","896000","896000"
"140","902400","902400","902400","902400","902400","902400"
"141","908800","908800","908800","908800","908800","908800"
"142","915200","915200","915200","915200","915200","915200"
"143","921600","921600","921600","921600","921600","921600"
"144","928000","928000","928000","928000","928000","928000"
"145","934400","934400","934400","934400","934400","934400"
"146","940800","940800","940800","940800","940800","940800"
"147","947200","947200","947200","947200","947200","947200"
"148","953600","953600","953600","953600","953600","953600"
"149","960000","960000","960000","960000","960000","960000"
"150","966400","966400","966400","966400","966400","966400"
"151","972800","972800","972800","972800","972800","972800"
"152","979200","979200","979200","979200","979200","979200"
"153","985600","985600","985600","985600","985600","985600"
"154","992000","992000","992000","992000","992000","992000"
"155","998400","998400","998400","998400","998400","998400"
"156","1004800","1004800","1004800","1004800","1004800","1004800"
"157","1011200","1011200","1011200","1011200","1011200","1011200"
"158","1017600","1017600","1017600","1017600","1017600","1017600"
"159","1024000","1024000","1024000","1024000","1024000","1024000"
"160","1030400","1030400","1030400","1030400","1030400","1030400"
"161","1036800","1036800","1036800","1036800","1036800","1036800"
"162","1043200","1043200","1043200","1043200","1043200","1043200"
"163","1049600","1049600","1049600","1049600","1049600","1049600"
"164","1056000","1056000","1056000","1056000","1056000","1056000"
"165","1062400","1062400","1062400","1062400","1062400","1062400"
"166","1068800","1068800","1068800","1068800","1068800","1068800"
"167","1075200","1075200","1075200","1075200","1075200","1075200"
"168","1081600","1081600","1081600","1081600","1081600","1081600"
"169","1088000","1088000","1088000","1088000","1088000","1088000"
"170","1094400","1094400","1094400","1094400","1094400","1094400"
"171","1100800","1100800","1100800","1100800","1100800","1100800"
"172","1107200","1107200","1107200","1107200","1107200","1107200"
"173","1113600","1113600","1113600","1113600","1113600","1113600"
"174","1120000","1120000","1120000","1120000","1120000","1120000"
"175","1126400","1126400","1126400","1126400","1126400","1126400"
"176","1132800","1132800","1132800","1132800","1132800","1132800"
"177","1139200","1139200","1139200","1139200","1139200","1139200"
"178","1145600","1145600","1145600","1145600","1145600","1145600"
"179","1152000","1152000","1152000","1152000","1152000","1152000"
"180","1158400","1158400","1158400","1158400","1158400","1158400"
"181","1164800","1164800","1164800","1164800","1164800","1164800"
"182","1171200","1171200","1171200","1171200","1171200","1171200"
"183","1177600","1177600","1177600","1177600","1177600","1177600"
"184","1184000","1184000","1184000","1184000","1184000","1184000"
"185","1190400","1190400","1190400","1190400","1190400","1190400"
"186","1196800","1196800","1196800","1196800","1196800","1196800"
"187","1203200","1203200","1203200","1203200","1203200","1203200"
"188","1209600","1209600","1209600","1209600","1209600","1209600"
"189","1216000","1216000","1216000","1216000","1216000","1216000"
"190","1222400","1222400","1222400","1222400","1222400","1222400"
"191","1228800","1228800","1228800","1228800","1228800","1228800"
"192","1235200","1235200","1235200","1235200","1235200","1235200"
"193","1241600","1241600","1241600","1241600","1241600","1241600"
"194","1248000","1248000","1248000","1248000","1248000","1248000"
"195","1254400","1254400","1254400","1254400","1254400","1254400"
"196","1260800","1260800","1260800","1260800","1260800","1260800"
"197","1267200","1267200","1267200","1267200","1267200","1267200"
"198","1273600","1273600","1273600","1273600","1273600","1273600"
"199","1280000","1280000","1280000","1280000","1280000","1280000"
"200","1286400","1286400","1286400","1286400","1286400","1286400"
"201","1292800","1292800","1292800","1292800","1292800","1292800"
"202","1299200","1299200","1299200","1299200","1299200","1299200"
"203","1305600","1305600","1305600","1305600","1305600","1305600"
"204","1312000","1312000","1312000","1312000","1312000","1312000"
"205","1318400","1318400","1318400","1318400","1318400","1318400"
"206","1324800","1324800","1324800","1324800","1324800","1324800"
"207","1331200","1331200","1331200","1331200","1331200","1331200"
"208","1337600","1337600","1337600","1337600","1337600","1337600"
"209","1344000","1344000","1344000","1344000","1344000","1344000"
"210","1350400","1350400","1350400","1350400","1350400","1350400"
"211","1356800","1356800","1356800","1356800","1356800","1356800"
"212","1363200","1363200","1363200","1363200","1363200","1363200"
"213","1369600","1369600","1369600","1369600","1369600","1369600"
"214","1376000","1376000","1376000","1376000","1376000","1376000"
"215","1382400","1382400","1382400","1382400","1382400","1382400"
"216","1388800","1388800","1388800","1388800","1388800","1388800"
"217","1395200","1395200","1395200","1395200","1395200","1395200"
"218","1401600","1401600","1401600","1401600","1401600","1401600"
"219","1408000","1408000","1408000","1408000","1408000","1408000"
"220","1414400","1414400","1414400","1414400","1414400","1414400"
"221","1420800","1420800","1420800","1420800","1420800","1420800"
"222","1427200","1427200","1427200","1427200","1427200","1427200"
"223","1433600","1433600","1433600","1433600","1433600","1433600"
"224","1440000","1440000","1440000","1440000","1440000","1440000"
"225","1446400","1446400","1446400","1446400","1446400","1446400"
"226","1452800","1452800","1452800","1452800","1452800","1452800"
"227","1459200","1459200","1459200","1459200","1459200","1459200"
"228","1465600","1465600","1465600","1465600","1465600","1465600"
"229","1472000","1472000","1472000","1472000","1472000","1472000"
"230","1478400","1478400","1478400","1478400","1478400","1478400"
"231","1484800","1484800","1484800","1484800","1484800","1484800"
"232","1491200","1491200","1491200","1491200","1491200","1491200"
"233","1497600","1497600","1497600","1497600","1497600","1497600"
"234","1504000","1504000","1504000","1504000","1504000","1504000"
"235","1510400","1510400","1510400","1510400","1510400","1510400"
"236","1516800","1516800","1516800","1516800","1516800","1516800"
"237","1523200","1523200","1523200","1523200","1523200","1523200"
"238","1529600","1529600","1529600","1529600","1529600","1529600"
"239","1536000","1536000","1536000","1536000","1536000","1536000"
"240","1542400","1542400","1542400","1542400","1542400","1542400"
"241","1548800","1548800","1548800","1548800","1548800","1548800"
"242","1555200","1555200","1555200","1555200","1555200","1555200"
"243","1561600","1561600","1561600","1561600","1561600","1561600"
"244","1568000","1568000","1568000","1568000","1568000","1568000"
"245","1574400","1574400","1574400","1574400","1574400","1574400"
"246","1580800","1580800","1580800","1580800","1580800","1580800"
"247","1587200","1587200","1587200","1587200","1587200","1587200"
"248","1593600","1593600","1593600","1593600","1593600","1593600"
"249","1600000","1600000","1600000","1600000","1600000","1600000"
"250","1606400","1606400","1606400","1606400","1606400","1606400"
"251","1612800","1612800","1612800","1612800","1612800","1612800"
"252","1619200","1619200","1619200","1619200","1619200","1619200"
"253","1625600","1625600","1625600","1625600","1625600","1625600"
"254","1632000","1632000","1632000","1632000","1632000","1632000"
"255","1638400","1638400","1638400","1638400","1638400","1638400"
"256","1644800","1644800","1644800","1644800","1644800","1644800"
"257","1651200","1651200","1651200","1651200","1651200","1651200"
"258","1657600","1657600","1657600","1657600","1657600","1657600"
"259","1664000","1664000","1664000","1664000","1664000","1664000"
"260","1670400","1670400","1670400","1670400","1670400","1670400"
"261","1676800","1676800","1676800","1676800","1676800","1676800"
"262","1683200","1683200","1683200","1683200","1683200","1683200"
"263","1689600","1689600","1689600","1689600","1689600","1689600"
"264","1696000","1696000","1696000","1696000","1696000","1696000"
"265","1702400","1702400","1702400","1702400","1702400","1702400"
"266","1708800","1708800","1708800","1708800","1708800","1708800"
"267","1715200","1715200","1715200","1715200","1715200","1715200"
"268","1721600","1721600","1721600","1721600","1721600","1721600"
"269","1728000","1728000","1728000","1728000","1728000","1728000"
"270","1734400","1734400","1734400","1734400","1734400","1734400"
"271","1740800","1740800","1740800","1740800","1740800","1740800"
"272","1747200","1747200","1747200","1747200","1747200","1747200"
"273","1753600","1753600","1753600","1753600","1753600","1753600"
"274","1760000","1760000","1760000","1760000","1760000","1760000"
"275","1766400","1766400","1766400","1766400","1766400","1766400"
"276","1772800","1772800","1772800","1772800","1772800","1772800"
"277","1779200","1779200","1779200","1779200","1779200","1779200"
"278","1785600","1785600","1785600","1785600","1785600","1785600"
"279","1792000","1792000","1792000","1792000","1792000","1792000"
"280","1798400","1798400","1798400","1798400","1798400","1798400"
"281","1804800","1804800","1804800","1804800","1804800","1804800"
"282","1811200","1811200","1811200","1811200","1811200","1811200"
"283","1817600","1817600","1817600","1817600","1817600","1817600"
"284","1824000","1824000","1824000","1824000","1824000","1824000"
"285","1830400","1830400","1830400","1830400","1830400","1830400"
"286","1836800","1836800","1836800","1836800","1836800","1836800"
"287","1843200","1843200","1843200","1843200","1843200","1843200"
"288","1849600","1849600","1849600","1849600","1849600","1849600"
"289","1856000","1856000","1856000","1856000","1856000","1856000"
"290","1862400","1862400","1862400","1862400","1862400","1862400"
"291","1868800","1868800","1868800","1868800","1868800","1868800"
"292","1875200","1875200","1875200","1875200","1875200","1875200"
"293","1881600","1881600","1881600","1881600","1881600","1881600"
"294","1888000","1888000","1888000","1888000","1888000","1888000"
"295","1894400","1894400","1894400","1894400","1894400","1894400"
"296","1900800","1900800","1900800","1900800","1900800","1900800"
"297","1907200","1907200","1907200","1907200","1907200","1907200"
"298","1913600","1913600","1913600","1913600","1913600","1913600"
"299","1920000","1920000","1920000","1920000","1920000","1920000"
"300","1926400","1926400","1926400","1926400","1926400","1926400"
"301","1932800","1932800","1932800","1932800","1932800","1932800"
"302","1939200","1939200","1939200","1939200","1939200","1939200"
"303","1945600","1945600","1945600","1945600","1945600","1945600"
"304","1952000","1952000","1952000","1952000","1952000","1952000"
"305","1958400","1958400","1958400","1958400","1958400","1958400"
"306","1964800","1964800","1964800","1964800","1964800","1964800"
"307","1971200","1971200","1971200","1971200","1971200","1971200"
"308","1977600","1977600","1977600","1977600","1977600","1977600"
"309","1984000","1984000","1984000","1984000","1984000","1984000"
