"Step","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_contrastive_20240425_052240 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_goal_baseline_reg_20240425_051828 - rollout/ep_clip_rew_mean__MAX","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MIN","CartPole_laion2b_s34b_b79k_cosine_20240425_051521 - rollout/ep_clip_rew_mean__MAX","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MIN","CartPole_CLIPViT_contrastive_20240423_092934 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_1.0alpha_goal_baseline_reg_20240421_084411 - rollout/ep_clip_rew_mean__MAX","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MIN","CartPole_3mill_CLIP_cosine_20240420_091709 - rollout/ep_clip_rew_mean__MAX"
"20","-6.4332098960876465","-6.4332098960876465","-6.4332098960876465","188.787109375","188.787109375","188.787109375","48.929718017578125","48.929718017578125","48.929718017578125","42.63272476196289","42.63272476196289","42.63272476196289","188.8289794921875","188.8289794921875","188.8289794921875","49.67005920410156","49.67005920410156","49.67005920410156"
"21","-6.449131965637207","-6.449131965637207","-6.449131965637207","188.78408813476562","188.78408813476562","188.78408813476562","48.88099670410156","48.88099670410156","48.88099670410156","42.59199142456055","42.59199142456055","42.59199142456055","188.82675170898438","188.82675170898438","188.82675170898438","49.74968338012695","49.74968338012695","49.74968338012695"
"22","-6.454758167266846","-6.454758167266846","-6.454758167266846","188.78173828125","188.78173828125","188.78173828125","48.86293029785156","48.86293029785156","48.86293029785156","42.63410949707031","42.63410949707031","42.63410949707031","188.82408142089844","188.82408142089844","188.82408142089844","49.74745178222656","49.74745178222656","49.74745178222656"
"23","-6.448625087738037","-6.448625087738037","-6.448625087738037","188.78062438964844","188.78062438964844","188.78062438964844","48.818050384521484","48.818050384521484","48.818050384521484","42.61582565307617","42.61582565307617","42.61582565307617","188.8253631591797","188.8253631591797","188.8253631591797","49.80223846435547","49.80223846435547","49.80223846435547"
"24","-6.447418212890625","-6.447418212890625","-6.447418212890625","188.78004455566406","188.78004455566406","188.78004455566406","48.798397064208984","48.798397064208984","48.798397064208984","42.54576873779297","42.54576873779297","42.54576873779297","188.82521057128906","188.82521057128906","188.82521057128906","49.87812805175781","49.87812805175781","49.87812805175781"
"25","-6.433372497558594","-6.433372497558594","-6.433372497558594","188.77842712402344","188.77842712402344","188.77842712402344","48.76353454589844","48.76353454589844","48.76353454589844","42.57299041748047","42.57299041748047","42.57299041748047","188.83297729492188","188.83297729492188","188.83297729492188","49.84965896606445","49.84965896606445","49.84965896606445"
"26","-6.416386127471924","-6.416386127471924","-6.416386127471924","188.77639770507812","188.77639770507812","188.77639770507812","48.710693359375","48.710693359375","48.710693359375","42.5825080871582","42.5825080871582","42.5825080871582","188.83096313476562","188.83096313476562","188.83096313476562","49.91441345214844","49.91441345214844","49.91441345214844"
"27","-6.405665397644043","-6.405665397644043","-6.405665397644043","188.77566528320312","188.77566528320312","188.77566528320312","48.6696891784668","48.6696891784668","48.6696891784668","42.632659912109375","42.632659912109375","42.632659912109375","188.82437133789062","188.82437133789062","188.82437133789062","49.89188766479492","49.89188766479492","49.89188766479492"
"28","-6.385516166687012","-6.385516166687012","-6.385516166687012","188.7758026123047","188.7758026123047","188.7758026123047","48.65493392944336","48.65493392944336","48.65493392944336","42.65718078613281","42.65718078613281","42.65718078613281","188.81961059570312","188.81961059570312","188.81961059570312","49.969154357910156","49.969154357910156","49.969154357910156"
"29","-6.358087539672852","-6.358087539672852","-6.358087539672852","188.77395629882812","188.77395629882812","188.77395629882812","48.60072326660156","48.60072326660156","48.60072326660156","42.721527099609375","42.721527099609375","42.721527099609375","188.8091583251953","188.8091583251953","188.8091583251953","49.99921798706055","49.99921798706055","49.99921798706055"
"30","-6.337414264678955","-6.337414264678955","-6.337414264678955","188.77468872070312","188.77468872070312","188.77468872070312","48.59424591064453","48.59424591064453","48.59424591064453","42.71072769165039","42.71072769165039","42.71072769165039","188.80055236816406","188.80055236816406","188.80055236816406","50.113555908203125","50.113555908203125","50.113555908203125"
"31","-6.322483062744141","-6.322483062744141","-6.322483062744141","188.77305603027344","188.77305603027344","188.77305603027344","48.55953598022461","48.55953598022461","48.55953598022461","42.689579010009766","42.689579010009766","42.689579010009766","188.79559326171875","188.79559326171875","188.79559326171875","50.287235260009766","50.287235260009766","50.287235260009766"
